Gender,Birth and Death Dates,Name means,Popularity index,Area of expertise,Celebration or Feast Day,Role,Good/Evil Rating,Pantheon,Related Gods,Type,Alternative names,Associated with,url,Area or people,Pronunciation,Name,In charge of
Female,,,7095,Sun,Unknown at present,🌞,Unknown at present,Hittite pantheon,{'Teshub'},Goddess,['Ariniddu'],,https://www.godchecker.com/hittite-mythology/ARINNA/,Hittite,Coming soon,Arinna,the Sun
Male,,,4260,Love,Unknown at present,❤️,"GOOD, quite approachable",Aztec pantheon,{'Xochiquetzal'},God,['Xochipili'],,https://www.godchecker.com/aztec-mythology/XOCHIPILLI/,,Coming soon,Xochipilli,Love
Male,,,3471,"Psychopomp, Ferryman, Death",Unknown at present,unspecified,Unknown at present,Greek pantheon,"{'Styx', 'Erebus', 'Nyx'}",God,['Kharon'],,https://www.godchecker.com/greek-mythology/CHARON/,,Coming soon,Charon,Escorting Souls
Female,,,7823,Love,Unknown at present,❤️,Unknown at present,Roman pantheon,"{'Hermes', 'Saturnus', 'Mercury', 'Jupiter', 'Aphrodite', 'Ares', 'Cronus', 'Mars', 'Zeus'}",Goddess,['unspecified'],Venus,https://www.godchecker.com/roman-mythology/VENUS/,,Coming soon,Venus,Love
Male,,,9416,Peace,Unknown at present,unspecified,Unknown at present,Norse pantheon,"{'Gerd', 'Freya', 'Inguin', 'Njord', 'Skirnir'}",God,"['Frey', 'Fricco', 'Yngvi', 'Yngvi-Freyr']",,https://www.godchecker.com/norse-mythology/FREYR/,,Coming soon,Freyr,Peace
Male,,,4248,Beauty,Unknown at present,unspecified,"OKAY, not bad",Vodou pantheon,"{'Loa', 'Aida-Wedo'}",Spirit,"['Damballa', 'Damballa-Wedo', 'Damballah-Wedo', 'Danbala']",,https://www.godchecker.com/vodou-mythology/DAMBALLAH/,Haiti,Coming soon,Damballah,Beauty
Male,,,6365,"Sea, Seas, Ocean, Oceans",Unknown at present,unspecified,"NEUTRAL, may not care",Chinese pantheon,"{'Long Wang', 'Jade Emperor', 'Monkey'}",God,"['Ao Jun', 'Áo Rùn']",,https://www.godchecker.com/chinese-mythology/AO-RUN/,,Aow Joon,Ao Run,the Ocean
Male,1189-1256,,712,,Unknown at present,Unknown at present,Unknown at present,Christian pantheon,set(),Saint,['unspecified'],,https://www.godchecker.com/christian-mythology/SAINT-PETER-NOLASCO/,,Coming soon,Peter Nolasco,
Female,,,1517,,Unknown at present,Unknown at present,"NEUTRAL, may not care",Japanese pantheon,"{'Yo', 'Yin'}",concept,['unspecified'],,https://www.godchecker.com/japanese-mythology/IN/,,Coming soon,In,
Female,,,6607,Good Fortune,Unknown at present,unspecified,Unknown at present,Roman pantheon,{'Tyche'},Goddess,['unspecified'],,https://www.godchecker.com/roman-mythology/FORTUNA/,,Coming soon,Fortuna,Good Luck
Female,,,2415,Messenger,Unknown at present,unspecified,"GOOD, quite approachable",Welsh pantheon,"{'Manawydan', 'Brân', 'Efnisien'}",legendary mortal,['unspecified'],,https://www.godchecker.com/welsh-mythology/BRANWEN/,,Coming soon,Branwen,Messages
Male,,,2506,Bats,Unknown at present,🦇,"NOT OKAY, be careful",Australian Aboriginal pantheon,"{'Pilirin', 'Rainbow Snake'}",God,['unspecified'],,https://www.godchecker.com/australian-aboriginal-mythology/TJINIMIN/,Murinbata folk of Northern Territory,Coming soon,Tjinimin,Bats
Male,,,1595,War,Unknown at present,unspecified,"NEUTRAL, may not care",Maya pantheon,set(),God,['Hunpic Tok'],,https://www.godchecker.com/maya-mythology/HUN-PIC-TOK/,,Coming soon,Hun Pic Tok,War
Female,,,1914,,Unknown at present,Unknown at present,"NEUTRAL, may not care",Egyptian pantheon,set(),Demoness,['Sal'],,https://www.godchecker.com/egyptian-mythology/SAG/,,Coming soon,Sag,
Female,,,9394,Underworld,Unknown at present,unspecified,"NEUTRAL, may not care",Greek pantheon,"{'Hades', 'Helios', 'Demeter', 'Zeus', 'Poseidon'}",Goddess,"['Kore', 'Persephassa']",,https://www.godchecker.com/greek-mythology/PERSEPHONE/,,Coming soon,Persephone,the Underworld
