Pantheon,Pronunciation,url,Good/Evil Rating,Celebration or Feast Day,Area of expertise,Associated with,In charge of,Birth and Death Dates,Popularity index,Name means,Name,Alternative names,Area or people,Type,Role,Related Gods,Gender
Polynesian pantheon,Coming soon,https://www.godchecker.com/polynesian-mythology/AHOEITU/,Unknown at present,Unknown at present,Ruling,,Ruling,,1369,,Ahoeitu,['unspecified'],Tonga,God,unspecified,"{'Ilaheva', 'Eitumatupua'}",Male
Canaanite pantheon,Coming soon,https://www.godchecker.com/canaanite-mythology/MOT/,Unknown at present,Unknown at present,Death,,Death,,7642,,Mot,['unspecified'],Canaan,God,unspecified,"{'Anath', 'Baal'}",Male
Buddhist pantheon,Coming soon,https://www.godchecker.com/buddhist-mythology/DEVAS-2/,Unknown at present,Unknown at present,,,,,1363,,Devas (2),['unspecified'],,Gods,Unknown at present,set(),Male
Chinese pantheon,Lee-yoo Bay,https://www.godchecker.com/chinese-mythology/LIU-BEI/,Unknown at present,Unknown at present,Hero,,Heroics,,3707,,Liu Bei,"['Liu-Pei', 'Liu-Xuan-De', 'Xuande']",,God,unspecified,"{'Zhang Fei', 'Guan Yu'}",Male
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/PYTHON/,Unknown at present,Unknown at present,,,,,2598,,Python,['unspecified'],,Demon,Unknown at present,"{'Hera', 'Artemis', 'Leto', 'Apollo', 'Gaia', 'Zeus'}",Male
Slavic pantheon,Coming soon,https://www.godchecker.com/slavic-mythology/ROD/,"NEUTRAL, may not care",Unknown at present,,,,,2162,,Rod,['unspecified'],,God,Unknown at present,{'Perun'},Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-PAUL-THE-HERMIT/,Unknown at present,Unknown at present,,,,230-342,631,,Paul the Hermit,"['Paul Of Thebes', 'Paul The Anchorite']",,Saint,Unknown at present,set(),Male
Navajo pantheon,Coming soon,https://www.godchecker.com/navajo-mythology/TOBADZISTSINI/,"NEUTRAL, may not care",Unknown at present,War,,War,,3897,,Tobadzistsini,"['Thobadestchin', 'Thobadzistshini', 'Tó Bájísh Chíní', 'Tobadz\xadschin']",Navajo (aka Diné) people,God,unspecified,"{'Warrior Twins', 'Nayenezgani'}",Male
Finnish pantheon,Coming soon,https://www.godchecker.com/finnish-mythology/UKKO/,Unknown at present,Unknown at present,Storms,,Storms,,8931,,Ukko,"['Ukko-Ylijumala', 'Ylijumala']",,God,unspecified,"{'Akka', 'Jumala', 'Lemminkäinen', 'Ilmatar'}",Male
Chinese pantheon,Gaow Yaow,https://www.godchecker.com/chinese-mythology/GAO-YAO/,"NEUTRAL, may not care",Unknown at present,Justice,,Justice,,4242,,Gao Yao,['Kao-Yao'],,God,unspecified,"{'Qilin', 'Yao'}",Male
Roman pantheon,Coming soon,https://www.godchecker.com/roman-mythology/FAUNUS/,Unknown at present,Unknown at present,Nature,,Nature,,3275,,Faunus,['unspecified'],,God,unspecified,{'Pan'},Male
Japanese pantheon,Coming soon,https://www.godchecker.com/japanese-mythology/HEIKE/,Unknown at present,Unknown at present,,,,,2835,,Heike,"['Heike-Gani', 'Heikegani']",,Spirit,Unknown at present,set(),Male
Hopi pantheon,Coming soon,https://www.godchecker.com/hopi-mythology/AHOLI/,"NEUTRAL, may not care",Unknown at present,Spring,,Spring,,2858,,Aholi,['unspecified'],Hopi,God,unspecified,{'Eototo'},Male
Irish pantheon,Coming soon,https://www.godchecker.com/irish-mythology/CONAN-MAC-MORNA/,Unknown at present,Unknown at present,,,,,1698,,Conán mac Morna,"['Conán Maol', 'Conán The Bald']",,God,Unknown at present,set(),Male
Melanesian pantheon,Coming soon,https://www.godchecker.com/melanesian-mythology/TO-KABINANA/,"NEUTRAL, may not care",Unknown at present,Hero,,Heroics,,1361,,To-Kabinana,['unspecified'],"New Britain island, Melanesia",God,unspecified,{'To-Karvuvu'},Male
Aztec pantheon,Coming soon,https://www.godchecker.com/aztec-mythology/MACUILTOCHTLI/,"GOOD, quite approachable",Unknown at present,Alcohol,,Alcohol,,3323,,Macuiltochtli,"['Five Rabbit', 'Macuil-Tochtli']",,God,unspecified,"{'Pulque', 'Macuiltonaleque'}",Male
Chinese pantheon,Jee-yeng Yoo-arn,https://www.godchecker.com/chinese-mythology/JIANG-YUAN/,Unknown at present,Unknown at present,,,,,1826,,Jiang Yuan,['Chiang-Yuan'],,legendary mortal,Unknown at present,{'Jade Emperor'},Female
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-THEOTONIUS/,Unknown at present,Unknown at present,,,,1086-1166,625,,Theotonius,['unspecified'],,Saint,Unknown at present,set(),Male
Inuit pantheon,Coming soon,https://www.godchecker.com/inuit-mythology/EEYEEKALDUK/,Unknown at present,Unknown at present,Healing,,Healing,,2581,,Eeyeekalduk,['unspecified'],Inuit,God,unspecified,set(),Male
Hindu pantheon,Coming soon,https://www.godchecker.com/hindu-mythology/KALI/,"NOT OKAY, be careful",Unknown at present,Destruction,,Destruction,,4500,,Kali,['unspecified'],,Goddess,unspecified,"{'Shiva', 'Agni'}",Female
Buddhist pantheon,Coming soon,https://www.godchecker.com/buddhist-mythology/HARITI/,"GOOD, quite approachable",Unknown at present,Children,,Children,,1472,,Hariti,['Haritiki'],,Goddess,unspecified,"{'Yakshas', 'Pañcika'}",Female
Mesopotamian pantheon,A-DRAM-Eh-Lehk,https://www.godchecker.com/mesopotamian-mythology/ADRAMMELECH/,Unknown at present,Unknown at present,Sun,,the Sun,,2522,,Adrammelech,['unspecified'],"Babylon, Samaria, Syria",God,🌞,{'Anammelech'},Male
Hindu pantheon,Coming soon,https://www.godchecker.com/hindu-mythology/DHARANI/,"OKAY, not bad",Unknown at present,"River, Rivers, Stream, Streams",,Rivers,,1237,,Dharani,['Dharanî'],,Goddess,unspecified,"{'Avatar', 'Lakshmi'}",Female
South American pantheon,Coming soon,https://www.godchecker.com/south-american-mythology/OMAME/,Unknown at present,Unknown at present,Creation,,Creating,,3439,,Omame,"['Omai', 'Omam', 'Omama', 'Omamë']",Yanomami (Yanomama) people of the Amazon rainforest,God,unspecified,set(),Male
Chinese pantheon,Jhoo Yee,https://www.godchecker.com/chinese-mythology/ZHUYI/,"NEUTRAL, may not care",Unknown at present,"Writing, Literature, Words",,Words and Writing,,2632,,Zhuyi,"['Chu I', 'Chu Yi', 'Mr. Redcoat', 'Red Robe', 'Zhu Yi', 'Zhuyi Fuyi', '朱衣']",,God,unspecified,{'Wen Chang'},Male
Norse pantheon,Coming soon,https://www.godchecker.com/norse-mythology/ULL/,Unknown at present,Unknown at present,Hunting,,Hunting,,6053,,Ull,"['Oller', 'Uller', 'Ullr', 'Ullur', 'Valder', 'Vuldr']",,God,unspecified,set(),Male
Norse pantheon,Coming soon,https://www.godchecker.com/norse-mythology/GEIRROD/,Unknown at present,Unknown at present,,,,,3840,,Geirrod,['unspecified'],,Demon,Unknown at present,"{'Gjalp', 'Grid', 'Thor', 'Loki', 'Frost Giants', 'Greip'}",Male
Mesopotamian pantheon,Coming soon,https://www.godchecker.com/mesopotamian-mythology/AYA/,Unknown at present,Unknown at present,Dawn,,Dawn,,4917,,Aya,"['Aja', 'Ayya']","Sumer, Babylon",Goddess,unspecified,{'Shamash'},Female
Thai pantheon,Coming soon,https://www.godchecker.com/thai-mythology/PHRA-LAK/,"NEUTRAL, may not care",Unknown at present,Unknown,,Unknown,,1986,,Phra Lak,['Phra Laksami'],Thailand,Goddess,unspecified,"{'Ramakien', 'Phra Ram', 'Lakshmi'}",Female
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-EUSEBIUS-OF-VERCELLI/,Unknown at present,August 2nd,,,,283-371,616,,Eusebius of Vercelli,['unspecified'],,Saint,Unknown at present,set(),Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-JOHN-OF-THE-CROSS/,Unknown at present,Unknown at present,,,,1542-1591,600,,John of the Cross,['San Juan De La Cruz'],,Saint,Unknown at present,set(),Male
Fijian pantheon,Coming soon,https://www.godchecker.com/fijian-mythology/RAIVUKI/,Unknown at present,Unknown at present,Seasons,,Seasons,,2667,,Raivuki,['unspecified'],Fiji in Melanesia,Goddess,unspecified,{'Ratu-mai-bulu'},Female
Maya pantheon,Coming soon,https://www.godchecker.com/maya-mythology/GOD-R/,Unknown at present,Unknown at present,Earth,,the Earth,,2365,,God R,"['Bulkabil', 'Buluk-Kab', 'Kaab', 'Kab']",,God,unspecified,{'Buluc Chabtan'},Male
Etruscan pantheon,Coming soon,https://www.godchecker.com/etruscan-mythology/LASAS/,"OKAY, not bad",Unknown at present,"Fate, Destiny",,Fate and Destiny,,3802,,Lasas,"['Lasa', 'Lasae']",,Goddesses,unspecified,"{'Turan', 'Alpan'}",Female
Polynesian pantheon,Coming soon,https://www.godchecker.com/polynesian-mythology/VEHINE-HAE/,"BAD, best avoided",Unknown at present,Misfortune,,Bad Luck,,1278,,Vehine Hae,['unspecified'],Marquesas,Spirits,unspecified,set(),Female
Fijian pantheon,Coming soon,https://www.godchecker.com/fijian-mythology/NDAUTHINA/,Unknown at present,Unknown at present,Fire,,Fire,,2531,,Ndauthina,['unspecified'],Fiji in Melanesia,God,🔥,set(),Male
Australian Aboriginal pantheon,Coming soon,https://www.godchecker.com/australian-aboriginal-mythology/JULANA/,"BAD, best avoided",Unknown at present,Wrongdoing,,Wrongdoing and bad deeds,,3587,,Julana,['unspecified'],Jumu tribe of Western Australia,God,unspecified,"{'Njirana', 'Dreamtime'}",Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-ZDISLAVA-BERKA/,Unknown at present,Unknown at present,,,,1200-1252,781,,Zdislava Berka,['unspecified'],,Saint,Unknown at present,{'Jesus'},Female
African pantheon,Coming soon,https://www.godchecker.com/african-mythology/DZIVA/,"NOT OKAY, be careful",Unknown at present,Creation,,Creating,,4535,,Dziva,['unspecified'],Shona of Zimbabwe,Goddess,unspecified,set(),Female
African pantheon,Coming soon,https://www.godchecker.com/african-mythology/RUHANGA/,"OKAY, not bad",Unknown at present,Creation,,Creating,,2746,,Ruhanga,['unspecified'],Bantu (Banyoro) from Uganda,God,unspecified,{'Rugaba'},Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-DENIS/,Unknown at present,October 9th,,,,258-286,754,,Denis,['Denys'],,Saint,Unknown at present,set(),Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-ELIZABETH-OF-PORTUGAL/,Unknown at present,July 4th,,,,1271-1336,776,,Elizabeth of Portugal,['Elizabeth Of Aragon'],,Saint,Unknown at present,set(),Female
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/POPE-SAINT-LEO-IX/,Unknown at present,Unknown at present,,,,1002-1054,688,,Leo IX,['unspecified'],,Saint,Unknown at present,set(),Male
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/NEREIDS/,Unknown at present,Unknown at present,"Sea, Seas, Ocean, Oceans",,the Ocean,,2242,,Nereids,"['Nereides', 'Sea Nymphs']",,Spirits,unspecified,"{'Doris', 'Nereus', 'Nymphs'}",Female
Finnish pantheon,Coming soon,https://www.godchecker.com/finnish-mythology/TUULIKKI/,Unknown at present,Unknown at present,Nature,,Nature,,3306,,Tuulikki,['unspecified'],,Goddess,unspecified,"{'Mielikki', 'Tapio'}",Female
Irish pantheon,Coming soon,https://www.godchecker.com/irish-mythology/COINCHEANN/,Unknown at present,Unknown at present,,,,,1391,,Coincheann,['Conchean'],,God,Unknown at present,set(),Male
Native American pantheon,Coming soon,https://www.godchecker.com/native-american-mythology/MANABOZHO/,"NEUTRAL, may not care",Unknown at present,"Trickster, Mischief, Mayhem",,Mayhem,,16300,,Manabozho,"['Big Rabbit', 'Great Hare', 'Great Rabbit', 'Manabozo', 'Manabush', 'Manibozho', 'Nanabozho', 'Nanabozo', 'Nanabush', 'Wenabozho', 'Winabozho', 'Wisaaka']",Algonquin and Ojibwe people of the Anishinaabe group,God,unspecified,"{'Chibiabos', 'Wabasso', 'Ictinike', 'Chakekenapok', 'Hare', 'Glooskap', 'Michabo'}",Male
Slavic pantheon,Coming soon,https://www.godchecker.com/slavic-mythology/MIKULA/,Unknown at present,Unknown at present,Hero,,Heroics,,2612,,Mikula,"['Mikula Selianinovich', 'Mikula Selyaninovich', 'Микула Селянинович']",,God,unspecified,"{'Mati Syra Zemlya', 'Bogatyri'}",Male
